job_id,register_date,company,title,location,time_opened,link,applications,experience_level,job_type,role,sectors,description,requisitos,posicao
3837864590,2024-03-03,Deloitte,Desenvolvedor (a) Júnior - Brasil,"São Paulo, SP",Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-a-j%C3%BAnior-brasil-at-deloitte-3837864590?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=VWoUG3mJDyDsCYjrUjPPrA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,>25,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades de consultoria em gestão empresarial,"DescriptionNa Deloitte, buscamos pessoas que queiram gerar impactos positivos todos os dias. Impulsionamos talentos para que possam se desenvolver em um ambiente colaborativo, com times diversos e que tragam energia, empoderamento, interação e conexões. O nosso crescimento é exponencial porque os talentos que recrutamos possuem os nossos valores em suas essências.Liderar o caminho, fomentar a inclusão, colaborar para mensurar impactos, servir com integridade e cuidar uns dos outros são pontos essenciais e inegociáveis para fortalecer ainda mais o nosso propósito.Você terá a oportunidade de evoluir sua carreira na maior organização de serviços profissionais do mundo atuando como Desenvolvedor Mulesoft no time da Consultoria Empresarial, em Core Business Operations, que busca incluir proposição de valor do time, de maneira incluir valores e traços comportamentais. Na sua rotina, você irá Interpretação e levantamento de requisitos para desenvolver serviços/integrações de Mule, integração e prática das melhores práticas de arquitetura MuleSoft. Implementação do desenvolvimento de múltiplos serviços de interface para conectar serviços web SOAP e REST internos e externos. Desenvolvimento, construção, implantação e teste de aplicativos/APIs Mulesoft (API de experiência, API de processo e APIs de sistema).Acreditamos na força dos talentos que preparamos. Eles transformam de fato, impactam organizações, impulsionam mais talentos e criam oportunidades. Que tal fazer parte da maior organização de serviços profissionais do mundo? Escolha seu impacto.RequirementsExperiência jr em Mulesoft ou interesse em desenvolver-se na atuação dessa plataformaBenefitsDesenvolvimento profissionalÉ claro que cuidaríamos do seu desenvolvimento aqui na Deloitte! Queremos que você alcance seus objetivos profissionais e pessoais e, por isso, contamos com Universidade Corporativa, acesso a plataformas online de aprendizado, plataforma de idiomas com mais de 7.500 conteúdos e cerca de 60 cursos divididos por nível, área de atuação, habilidades profissionais e interesses, e até uma plataforma que reúne diversas instituições de ensino, fornecendo descontos exclusivos para profissionais Deloitte e seus dependentes.Além disso, oferecemos um plano de carreira estruturado, com mentoria de profissionais da Deloitte por meio de um(a) coach, que poderá ouvir seus desafios e apoiar para que consiga evoluir tanto com habilidades técnicas, quanto com habilidades comportamentais com base na própria experiência. É ótimo ter uma pessoa mentora, não é mesmo?Cuidados com o seu bem-estarAqui na Deloitte, acreditamos que saúde e bem-estar não são apenas projetos, e sim uma mudança de cultura. Queremos que você coloque em prática todo o seu talento e desenvolva uma carreira de sucesso com a gente, com equilíbrio entre Mente, Corpo e Propósito. Para isso, contamos com mais de 30 benefícios, como: Serviço de telemedicina para que você consiga fazer uma pré-avaliação sem precisar sair de casa!Family Strategy: programa destinados à profissionais gestantes e futuros papais que terão todo apoio possível neste momento tão especialGympass para colocar os exercícios físicos em diaDia de folga no mês do seu aniversário, para celebrar uma das pessoas mais importantes de sua vidaCanal de apoio psicológicoe Serviço Social (Mais) BenefíciosAssistência médica e odontológica! Para que você faça check-ups e cuide de você, em primeiro lugar*Participação nos lucros. Afinal, sem os nossos talentos, não poderíamos crescer exponencialmenteAuxílio-internet, para apoiar no trabalho em modelo híbridoSeguro de vida*Vale refeição / alimentação*Pacote de benefícios flexíveis: você receberá pontos e poderá distribui-los entre as opções que melhor se adequam às suas necessidades de acordo com as regras do programa.Oportunidade de fazer parte de uma cultura inclusivaVocê pode ser quem realmente é com oportunidade igual de crescimento. Para reforçar esse compromisso, desenvolvemos a estratégia global ALL IN com os 8 pilares – Origens, Jovem Aprendiz, STEM, Delas, LGBT+, Inclui, No Borders e Geração 50+. Destacamos que todas as nossas vagas estão abertas ao público PcD. Esperamos você neste time!",Não especificado,JUNIOR
3823911497,2024-03-03,Hiper Software,Desenvolvedor,Greater São Paulo Area,Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-at-hiper-software-3823911497?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=cp8IKh25%2BuQuSVQskRMcLg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Hidden,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Vagas para os times de tecnologia e desenvolvimento na hiper software, é necessário o currículo para se candidatar ás vagas.",Não especificado,Não especificado
3760170978,2024-03-03,Casa do Crédito S.A. - SCM,Desenvolvedor MYSQL,Greater São Paulo Area,Há 3 meses,https://br.linkedin.com/jobs/view/desenvolvedor-mysql-at-casa-do-cr%C3%A9dito-s-a-scm-3760170978?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=hFBnPDvyPrSVQC4wS4X7Pg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,<=25,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Sociedades de fomento mercantil - factoring,"Manipular arquivos do servidor web. Criar scripts para manipular serviços de rede de comunicação. Realizar integração entre o PHP e o SGBD MySql. Desenvolver aplicações PHP para criação, leitura, atualização e exclusão de dados. Experiência na função.","PHP, SQL",Não especificado
3841368287,2024-03-03,ZENVIA,Desenvolvedor(a) Backend Junior (Remoto),"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-a-backend-junior-remoto-at-zenvia-3841368287?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=%2FjWUufCY3UGbBCC6ckgCoA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,>25,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Estamos entusiasmados em abrir a oportunidade para um(a) Engenheiro(a) de Backend se unir à nossa equipe. Nossa missão é criar, desenvolver e aprimorar continuamente nosso ecossistema de plataforma, alcançando diariamente milhões de pessoas.Aqui, na equipe de engenharia, adotamos um modelo ágil que torna nosso dia a dia empolgante e repleto de desafios estimulantes. Valorizamos a liberdade criativa, promovemos uma gestão horizontal e proporcionamos autonomia aos nossos colaboradores. Acreditamos que esse ambiente é fundamental para que você possa expressar todo o seu potencial e crescer profissionalmente.Se você é apaixonado(a) por tecnologia, gosta de trabalhar em um ambiente dinâmico e tem sede por inovação, essa é a oportunidade ideal para fazer parte de uma equipe que impacta positivamente a vida de milhões de pessoas e contribui para a evolução constante do nosso ecossistema de plataforma. Venha crescer conosco enquanto desenvolvemos soluções que fazem a diferença.Seus desafios para fazer a diferença neste timeAnálise técnica de requisitos de suporte;Suportar a definição da arquitetura, com base nos requisitos e necessidades dos usuários;Ajudar a evoluir nosso ecossistema com tecnologias escaláveis;Escrever documentos descrevendo novas funcionalidades desenvolvidas;Desenvolver testes automatizados;Trabalhar como parte de uma equipe desenvolvendo aplicativos e serviços usando métodos de desenvolvimento Agile.Todas as nossas vagas são para todos. Aqui as pessoas são únicas, respeitamos e valorizamos as diferenças.Perfil de Humanz que buscamosResidir em qualquer lugar do Brasil (conforme regulamentado na CLT);Experiência prévia como Desenvolvedor(a);Experiência prévia com Node.js e Nest.js;Saber manusear bases de dados SQL e NoSQL (MySQL, DocumentDB & MongoDB).Bacana se você tiver, mas não é obrigatórioConhecimentos em PHP, Python, DjangoRESTframework;Docker, Docker Compose e kubernetes;Liderança técnica em equipes de desenvolvimento;Arquitetura Client-side, microsserviços e orientadas a eventos;Envio de mensagens usando Kafka ou outras ferramentas.Somos uma plataforma que empodera as empresas a criar experiências únicas de comunicação para seus clientes finais. Se você já interagiu com um chatbot, foi atendido por um canal de suporte em redes sociais ou fez uma compra por WhatsApp, nós estamos por trás da solução.Em 2021, fomos a primeira empresa SaaS da América Latina a abrir capital na Nasdaq. Estamos atuando em diversos países na América Latina, com mais de 14 mil clientes. Somos GPTW e mais de 1200 Humanz trabalhando pelo mundo. A ZENVIA está crescendo rapidamente, e estamos sempre em busca de profissionais que tragam novas perspectivas. Nosso jeito de ser valoriza e respeita a individualidade de cada um, com autonomia para trabalhar e se desenvolver.ZENVIA. By Humanz for Humans.O que nos faz um ótimo lugar para trabalhar?Estamos 100% remotos e nosso horário de trabalho é flexível.Zenvia Care é nosso programa de benefícios para você e sua família.Healthcare: plano de saúde e odontológico sem coparticipação para o colaborador e com possibilidade de incluir dependentes, seguro de vida, telemedicina, especialidades médicas.Wellness care: day off no aniversário, Gympass, além de coach esportivo e nutricional e telepsicologia gratuito inclusive para dependentes.Parental care: licença maternidade e paternidade estendidas, acompanhamento gestante e auxílio creche até 71 meses.Remote Care: política para quem quer se mudar temporariamente, R$1.500,00 para auxiliar nos equipamentos do seu escritório em casa, auxílio home office mensal de R$250,00 com possibilidade de destinar R$50,00 para a Previdência Privada, Alelo Tudo no valor de R$824,00 em Vale Refeição/Alimentação ou Benefícios flexíveis , e parceria com Woba para co-workings no Brasil inteiro.Carreira: programa de mobilidade interna, programa de idiomas com auxílio mensal de até R$150,00 e acesso a um Hub de Aprendizagem para seu desenvolvimento e para que você possa ativar todo o seu potencial e desenhar sua carreira na ZENVIA.Participação nos resultados, porque você ajudou a construí-los.Conexão direta com colegas de outros países e ambiente de trabalho informal, onde os colegas compartilham conhecimento, colaboram e aprendem juntos.Transparência, diálogo aberto e segurança para cada um ser quem quiser são essenciais para nós.What's in ZENVIA for a Tech Talent?Respiramos tecnologia, inovação. Evolução está em nossa essência. Desafios movem nosso dia a dia. Aqui você tem oportunidade de expressão criativa, autonomia para trazer melhorias, espaço para promover as mudanças, suporte para liderar ações, liberdade para ser quem você é e poder realizar, empreender, colaborar, inovar, crescer e se desenvolver. Nosso ambiente não é engessado, você trabalha suas entregas da forma que mais gosta, com uma liderança humana e uma equipe em constante conexão - ninguém solta a mão de ninguém!Na área de tecnologia da ZENVIA, em um dia você pode desenvolver um robô e colocar no ar ou testar um código novo, com um volume de bilhões de transações em banco de dados (realmente um absurdo), impactando milhões de pessoas.Aqui você irá encontrar bancos de dados relacionais e não relacionais, mensageria, servidores on premise e cloud. Além de microsserviços, diversas linguagens e um rico ecossistema de flavors de javascript e java. Trabalhamos com tecnologia aberta para evoluir, e os melhores e mais atuais sistemas como Linux, AWS, Kafka, GitLab, Jenkins, Docker, Kubernetes, IaC com Ansible, Terraform e CloudFormation, além de alta comunicação, com testes rápidos e a chance tangível de ver seu trabalho aplicado a um clique.E estamos construindo um time forte pra contribuir com nossa aspiração de ser líder global em comunicação para experiência do cliente. Queremos os melhores talentos em nossas equipes, compartilhando nosso ambiente colaborativo, onde todos crescem e se desenvolvem juntos. Venha para a ZENVIA!","CLOUD, DJANGO, NOSQL, AWS, NODE.JS, EXPRESS, PYTHON, SQL, LINUX, JAVA, PHP, GIT, JAVASCRIPT",JUNIOR
3798755517,2024-03-03,Brivia | The Creative Smartech,Desenvolvedor(a) Front-End,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-at-brivia-the-creative-smartech-3798755517?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=Bv4jk1W781qVf692tJmTiw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Hidden,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,Sem descrição,Não especificado,Não especificado
3809098562,2024-03-03,Devio,Desenvolvedor full stack jr,Greater São Paulo Area,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-jr-at-devio-3809098562?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=NdpIPKg3y32iAnW3AcouDw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,>25,Assistente,Contrato,Tecnologia da informação,Serviços de gestão estratégica,"Olá Dev.Estamos com posições em andamento aqui na DEVIO para quem é apaixonado por tecnologia!Aqui você vai:Desenvolver soluções úteis e que gerem retorno financeiro para o negócio do cliente;Atuar no desenvolvimento, manutenção e publicação de aplicações mobile;Atuar no desenvolvimento, manutenção e publicação de aplicações web;Realizar a manutenção e criação de novas funcionalidades no Front-End/Back-end;Realizar integrações de APIs de baixa a média complexidade;Atuar no desenvolvimento do Banco de dados e arquitetura das soluções.Por que vir para Devio?Oportunidade de construir processos e boas práticas junto ao timeUm time incrível formado por pessoas apaixonadas pelo que fazem, dispostas a crescer juntas e impulsionar seu desenvolvimento profissional no dia a dia;Aqui na DEVIO oferecemos para esta oportunidade:15 dias de férias remuneradasRemuneração progressivaPlano de carreiraObjetivos/metas do cargoDay off no dia do aniversárioHorários Flexíveis100% Home-OfficeVem ser Dev na DEVIO!",Não especificado,JUNIOR
3826600736,2024-03-03,Rappi,Back End Developer,"São Paulo, SP",Há 3 semanas,https://br.linkedin.com/jobs/view/back-end-developer-at-rappi-3826600736?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=QYi8BHbylkoALh3ZZCEBEQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,>25,Pleno-sênior,Tempo integral,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Hey, é hora de você se juntar a nós para mostrar ao mundo que somos a empresa que está mudando paradigmas, onde revolucionamos horas, minutos e segundos! Quer saber porque o Rappi? ️⭐️ NÓS VEMOS OPORTUNIDADES onde os outros veem problemas;⭐️ ️NÓS VEMOS APROXIMIDADE onde os outros veem a distância;⭐️ NÓS VEMOS ADRENALINA onde os outros veem pressão.Junte-se a um time onde todos somos capazes de TUDO, onde todos temos as mesmas oportunidades, independentemente de gênero, raça, orientação sexual, religião, nacionalidade, idade, deficiência, treinamento ou experiência.Gostou do que leu até aqui? Agora descubra como você irá entregar magia junto conosco através da sua missão no Rappi. 🧡Estamos em busca de um(a) DESENVOLVEDOR BACKEND/FULLSTACK SÊNIOR para se juntar a nossa jornada de ajudar empreendedores a se reinventarem e crescerem utilizando nossas ferramentas e Apps!? Você terá como missão aprimorar nosso sistema atual e desenvolver novas soluções de tecnologia, com isso, melhorar a experiência e o dia a dia dos entregadores e motoristas que trabalham conosco e de quem contrata nossos serviços de entrega e transporte.Seu caminho aqui dentro e suas responsabilidadesEstamos juntos construindo novos produtos! Embora cada um tenha sua especialidade técnica, acreditamos que é importante que todos participem de forma criativa no desenvolvimento do produto e suas funcionalidades, em sintonia com o contexto dos usuários.Atividades:Entender problemas técnicos ou de negócio e desenvolver soluções através de código.Interagir com demais áreas envolvidas nos projetos, para definição das soluções e a manutenção dos sistemas.Definir e elaborar arquitetura de novos componentes ou serviços.Desenvolvimento de aplicações Web/Desktop.Implementação das funcionalidades levantadas pelo departamento de análise.Integração de Sistemas.Desenvolvimento de webservices.Manutenção em aplicações existentes.Análise de causa raiz dos problemas reportados.Sobre o nosso ambiente de trabalhoAcreditamos que a diversidade individual e cultural contribui para um ambiente construtivo.Achamos importante estarmos juntos no local de trabalho, mas respeitamos as necessidades de cada um com horários flexíveis.Não gostamos de decisões impostas e não agimos sem saber o porquê.Trabalhamos em equipe! Mesmo com as liberdades individuais, nos responsabilizamos em grupo. Gostamos de parear (pair programming), e encorajamos a participação de todos nas discussões e decisões.Buscamos ser pragmáticos, mas isso não significa que deixamos a qualidade de código de lado!Gostamos de estudar assuntos novos e sair da nossa zona de conforto. Somos apaixonados pelo que fazemos, mas isso não está acima do que é primordial: a qualidade de vida.Buscamos alguém que tenha...Sólido conhecimento em PHP e orientação a objetosLavarelTestes unitários e de integraçãoArquitetura de softwareSistemas de filas e mensageriaAPIs RestGitMicro serviçosDesign patternsPSR-1/PSR-12 e cuidados com a escrita do códigoBanco de dados não-relacionais (Mongodb, Redis, Elasticsarch)Banco de dados relacional (Mysql)DiferenciaisConhecimento em tecnologias serverlessGRPCNodejsKubernetesDockerGolangJavaApache KafkaConhecimento em Scrum e metodologias ágeisFullstackOutras informações:Salário a combinarHorário flexívelHome OfficeFormato de contratação PJPlano de saúdeSeguro de vidaO Rappi apoia diversidade e inclusão e todas as nossas oportunidades estão abertas a pessoas com deficiência (PcD).","NODE.JS, SQL, JAVA, PHP, GO",PLENO
3792572282,2024-03-03,Campanha Digital,Programador Web,Greater São Paulo Area,Há 2 meses,https://br.linkedin.com/jobs/view/programador-web-at-campanha-digital-3792572282?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=UIowaETX3xJBjVzDQ7c%2BpQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Hidden,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Produtos de software de computação móvel,"Projetar, construir e otimizar interfaces dos projetos WEB Criar aplicações que abordam as fases do CVDS (ciclo de vida de desenvolvimento de sistemas) Trabalhar com Elementor e Wordpress Analisar requisitos propostos e desenvolver interfaces e funcionalidades; Desenvolver procedimentos de teste de aplicativos abrangentes ? Contribuir com evoluções arquiteturais; Atualizar aplicativos existentes para atender às normas de segurança e de funcionalidade descritas nas políticas do site da empresa Implementar ferramentas de teste que monitoram o desempenho contínuo do site da empresa Identificar gargalos e melhorias de performance em nossas páginas; Garantir que nossas telas continuem ou melhorem a responsividade. Desenvolvedor Front End pleno, com total conhecimento em Elementor e Wordpress para freela, com possibilidade de outros projetos.",WORDPRESS,PLENO
3778915549,2024-03-03,B4A,Desenvolvedor(a) Front-End Júnior (Angular),"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-j%C3%BAnior-angular-at-b4a-3778915549?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=YcdvrTavm1%2BZQJDEbIrE9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,>25,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Aqui você vai encontrar:Oportunidade de aprender e de se desenvolver. Ambição, senso de urgência, muitos desafios, pessoas comprometidas, clima colaborativo e muita capacidade de realização.Se você é curioso (a), ambicioso (a), tem interesse em se desafiar diariamente, gosta de botar a mão na massa e busca trabalhar em um time dinâmico, que se comunica de forma clara e que pensa como um cientista, saiba que essa oportunidade é para você, vem ser Desenvolvedor(a) Front End Júnior (Angular) aqui na B4A!📍 Local de trabalho: Presencial Berrini - São Paulo, SP, Híbrido ou Remoto📃 Modelo de contratação: CLTAceita esse desafio?! Cadastre seu currículo e venha fazer parte do #teamB4A! Aproveite e conheça mais sobre a B4A em nosso site: www.b4a.com.brProcuramos alguém que:Tenha um propósito de vida e de carreira ambicioso e que não mede esforços para fazer o que precisa ser feito;Busca fazer parte de uma história inspiradora e de sucesso com pessoas dispostas a mudar o mundo;Gosta de trabalhar em equipe presencialmente juntos e tenha interesse por tecnologia, inovação e beleza;Tenha extremo senso de urgência, disposição e flexibilidade, e entenda que algumas coisas não podem esperarTenha auto responsabilidade: ""isso não é responsabilidade minha"", não funciona aqui!;Saiba se comunicar de forma clara e objetiva e lidar bem com pessoas;Tenha atenção concentrada e consiga trabalhar sob pressão;Seja dinâmico para resolver problemas e lidar com diversas atividades simultaneamente;Seja um profissional de alta performance com foco, organização e planejamento de atividades;E claro, se identifique a cultura B4A!Responsabilidades e atribuiçõesDesenvolvimento de produtos web e soluções digitaisDesenvolvimento de novas features e suporte, usando Angular 2+ e NodeManutenção de banco NoSQL usando o Firebase (Google)Requisitos e qualificaçõesFormação em Analise e Desenvolvimento de Sistemas, Ciência da Computação, Sistemas da Informação ou áreas correlatas;Prévia experiência em desenvolvimento front-end, principalmente em Angular 2+Familiaridade com ferramentas de controle de versão, como Git.Senso de urgência, capacidade analítica, facilidade com indicadores e comunicação objetivaPerfil hands on, organizado, proativo na identificação de oportunidades e insights e resolução de problemasConhecimento e prática no uso de plataformas de inteligência artificial como Chat GPT, Midjourney e Adobe FireflyConhecimento ou vontade de rápido aprendizado de java/google scriptInformações adicionaisO que oferecemos:💸Remuneração acima do mercado🤝Programa Vire Sócio B4A - queremos que você também seja sócio! Se você permanecer na B4A depois de 1 ano você será elegível para virar sócio e participar no sucesso da empresa!⏰ Horários flexíveis - para que consiga cumprir todos os seus compromissos🍱 Vale Refeição - com cartão CAJU💻 Auxílio home-office ou Auxílio transporte🤍 Convênio médico⛱ Férias remuneradas🐶 Pet friendly - nossos aumigos sempre pertinho de você🏋️‍♀️ Gympass - para que os nossos colaboradores cuidem da saúde física🛒 Descontos exclusivos em nossas plataformas📚 Descontos com parceiros educacionais - lifelong learningEtapas do nosso processo seletivo:✍ ️ Inscrição e avaliação inicial🤝 Entrevista com o time de People🤝 Entrevista com a Liderança🤝 Entrevista com a Direção ou CEO📣 Feedbacks e/ou contratação - transparência, empatia e respeito sempre!","ANGULAR, GIT, NOSQL, JAVA",JUNIOR
3823736645,2024-03-03,Stoom seu E-commerce de ponta a ponta,Desenvolvedor,Greater São Paulo Area,Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-at-stoom-seu-e-commerce-de-ponta-a-ponta-3823736645?refId=33J51BsMhVmFlTJUQJpPTw%3D%3D&trackingId=DuRVp3wOy0z2qjCOuTgQTA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Hidden,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Vaga 100% remota n.Empresa stoom, de campinas-Sp no setor d.E-Commerce.experiência com tecnologias web html.Css.Javascript.Reactjs.Typescript.Redux.Jquery.Bootstrap.e e-Commerce, desejável conhecer conhecimento básico em arquitetura de microfrontends.Conhecimento básico de testes automatizados.Técnicas de seo.Conhecimento básico em banco de dados.Conhecimento na linguagem flutter.Noções básicas de ui/ux.Benefícios30 dias de descanso remunerado.Gympass.Descontos em diversos estabelecimentos.Day off de aniversário.Stock options.Bônus por indicação.Seguro de vida.Bônus por metas.","CSS, HTML, JQUERY, REACT, BOOTSTRAP, FLUTTER, JAVASCRIPT",Não especificado
